Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.122.140.76-45.33.49.119-60197-443-6,10.122.140.76,60197,45.33.49.119,443,6,15/02/2024 05:32:16 PM,1510406,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.6620736411269553,1.9862209233808659,755203.0,947189.3323892537,1424967.0,85439.0,0,0,0,0,0,85439.0,85439.0,0.0,85439.0,85439.0,0,0,0,0,20,40,0.6620736411269553,1.3241472822539107,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
10.122.140.76-35.186.224.25-60267-443-6,10.122.140.76,60267,35.186.224.25,443,6,15/02/2024 05:36:35 PM,87253,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,22.921847959382486,87253.0,0.0,87253.0,87253.0,0,0,0,0,0,87253.0,87253.0,0.0,87253.0,87253.0,0,0,0,0,0,40,0.0,22.921847959382486,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,261,0,0,0,0,0,0,0,0,0,0,No Label
10.122.140.76-35.186.224.39-60277-443-6,10.122.140.76,60277,35.186.224.39,443,6,15/02/2024 05:36:35 PM,46769,5,6,1534.0,834.0,871.0,0.0,306.8,403.39397615730456,631.0,0.0,139.0,254.339930014931,50631.82877547093,235.19852894010992,4676.900000000001,5815.767618198726,18175.0,31.0,40870.0,10217.5,11870.954258188347,24008.0,289.0,46525.0,9305.0,5114.571731826625,18175.0,5868.0,0,0,0,0,100,144,106.90842224550451,128.2901066946054,0.0,871.0,197.33333333333331,315.3097563099538,99420.24242424243,0,1,0,0,0,0,0,0,1.0,215.27272727272728,306.8,139.0,0,0,0,0,0,0,5,1534,6,834,-1,268,3,0,0,0,0,0,0,0,0,0,No Label
10.122.140.76-35.186.224.39-60277-443-6,35.186.224.39,443,10.122.140.76,60277,6,15/02/2024 05:36:36 PM,11282,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.27353306151392,11282.0,0.0,11282.0,11282.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,88.63676653075696,88.63676653075696,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,268,0,0,0,0,0,0,0,0,0,0,No Label
10.122.140.76-52.123.250.33-60252-443-6,10.122.140.76,60252,52.123.250.33,443,6,15/02/2024 05:36:47 PM,300731,2,1,1.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,3.325230854152049,9.975692562456148,150365.5,86806.54977880414,211747.0,88984.0,211747.0,211747.0,0.0,211747.0,211747.0,0,0,0,0,0,0,0,0,0,40,20,6.650461708304098,3.325230854152049,0.0,1.0,0.25,0.5,0.25,1,0,0,0,1,0,0,0,0.0,0.3333333333333333,0.5,0.0,0,0,0,0,0,0,2,1,1,0,-1,514,1,0,0,0,0,0,0,0,0,0,No Label
146.112.41.2-10.122.140.76-443-60276-6,10.122.140.76,60276,146.112.41.2,443,6,15/02/2024 05:36:35 PM,13010604,7,13,616.0,8062.0,552.0,0.0,88.0,205.99029103333973,1386.0,0.0,620.1538461538462,647.492708601655,666.9943993376479,1.5372076500061027,684768.6315789474,2979008.946469636,1.2986533E7,0.0,20537.0,3422.8333333333335,2438.011354909297,5950.0,398.0,1.3010604E7,1084217.0,3748263.0244846623,1.2986546E7,0.0,0,0,0,0,140,284,0.538022677502136,0.9991849725039668,0.0,1386.0,413.2380952380952,581.0921531703818,337668.09047619044,0,1,0,0,0,0,0,0,1.0,433.9,88.0,620.1538461538462,0,0,0,0,0,0,7,616,13,8062,-1,32,2,0,24071.0,0.0,24071.0,24071.0,1.2986533E7,0.0,1.2986533E7,1.2986533E7,No Label
146.112.41.2-10.122.140.76-443-60275-6,10.122.140.76,60275,146.112.41.2,443,6,15/02/2024 05:36:35 PM,13012010,6,13,616.0,8062.0,552.0,0.0,102.66666666666667,221.6110707222603,1386.0,0.0,620.1538461538462,647.492708601655,666.9223279109069,1.4601894711116883,722889.4444444445,3060923.258062897,1.2987817E7,0.0,20507.0,4101.4,3831.93199313349,8661.0,51.0,1.301201E7,1084334.1666666667,3748639.2232629946,1.2987857E7,0.0,0,0,0,0,120,284,0.4611124645615858,0.9990770065501026,0.0,1386.0,433.9,588.2202326554766,346003.04210526304,0,1,0,0,0,0,0,0,2.0,456.7368421052632,102.66666666666667,620.1538461538462,0,0,0,0,0,0,6,616,13,8062,-1,32,2,0,24193.0,0.0,24193.0,24193.0,1.2987817E7,0.0,1.2987817E7,1.2987817E7,No Label
10.122.140.76-52.123.250.33-60252-443-6,10.122.140.76,60252,52.123.250.33,443,6,15/02/2024 05:36:48 PM,1200033,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666208345937155,1200033.0,0.0,1200033.0,1200033.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.8333104172968577,0.8333104172968577,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,514,0,0,0,0,0,0,0,0,0,0,No Label
10.122.140.76-52.123.250.33-60252-443-6,10.122.140.76,60252,52.123.250.33,443,6,15/02/2024 05:36:51 PM,4801513,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4165353712465217,4801513.0,0.0,4801513.0,4801513.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.20826768562326084,0.20826768562326084,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,514,0,0,0,0,0,0,0,0,0,0,No Label
151.101.1.140-10.122.140.76-443-60307-6,10.122.140.76,60307,151.101.1.140,443,6,15/02/2024 05:37:02 PM,17488,5,7,662.0,4201.0,598.0,0.0,132.4,261.7494985668549,1386.0,0.0,600.1428571428571,735.2592351389698,278076.395242452,686.1848124428179,1589.8181818181818,2558.033143576596,7476.0,0.0,12588.0,3147.0,5335.874061482336,11123.0,83.0,16198.0,2699.6666666666665,3264.274906723799,7809.0,0.0,0,0,0,0,100,164,285.9103385178408,400.27447392497714,0.0,1386.0,374.07692307692315,599.1244252432685,358950.07692307694,0,1,0,0,0,0,0,0,1.0,405.25,132.4,600.1428571428571,0,0,0,0,0,0,5,662,7,4201,-1,288,2,0,0,0,0,0,0,0,0,0,No Label
