Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
142.251.116.95-10.122.140.76-443-62436-6,142.251.116.95,443,10.122.140.76,62436,6,15/02/2024 07:30:12 PM,1192,5,2,365.0,73.0,73.0,73.0,73.0,0.0,73.0,0.0,36.5,51.61879502661797,367449.6644295302,5872.48322147651,198.66666666666666,483.69273993586745,1186.0,1.0,5.0,1.25,0.49999999999999994,2.0,1.0,1192.0,1192.0,0.0,1192.0,1192.0,0,1,0,0,100,40,4194.6308724832215,1677.8523489932886,0.0,73.0,63.875,25.809397513308983,666.125,0,0,0,1,1,0,0,0,0.0,73.0,73.0,36.5,0,0,0,0,0,0,5,365,2,73,-1,511,5,0,0,0,0,0,0,0,0,0,No Label
142.251.116.95-10.122.140.76-443-62436-6,10.122.140.76,62436,142.251.116.95,443,6,15/02/2024 07:30:12 PM,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,2.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,511,0,0,0,0,0,0,0,0,0,0,No Label
142.251.116.95-10.122.140.76-443-62436-6,10.122.140.76,62436,142.251.116.95,443,6,15/02/2024 07:30:12 PM,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,511,0,0,0,0,0,0,0,0,0,0,No Label
198.148.27.131-10.122.140.76-443-62848-6,198.148.27.131,443,10.122.140.76,62848,6,15/02/2024 07:30:12 PM,0,1,1,0.0,39.0,0.0,0.0,0.0,0.0,39.0,39.0,39.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,39.0,26.0,22.516660498395403,507.0,0,0,0,1,1,0,0,0,1.0,39.0,0.0,39.0,0,0,0,0,0,0,1,0,1,39,-1,42,0,0,0,0,0,0,0,0,0,0,No Label
198.148.27.131-10.122.140.76-443-62848-6,198.148.27.131,443,10.122.140.76,62848,6,15/02/2024 07:30:12 PM,0,1,1,0.0,39.0,0.0,0.0,0.0,0.0,39.0,39.0,39.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,39.0,26.0,22.516660498395403,507.0,0,0,0,1,1,0,0,0,1.0,39.0,0.0,39.0,0,0,0,0,0,0,1,0,1,39,-1,42,0,0,0,0,0,0,0,0,0,0,No Label
198.148.27.131-10.122.140.76-443-62848-6,198.148.27.131,443,10.122.140.76,62848,6,15/02/2024 07:30:12 PM,0,1,1,0.0,39.0,0.0,0.0,0.0,0.0,39.0,39.0,39.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,39.0,26.0,22.516660498395403,507.0,0,0,0,1,1,0,0,0,1.0,39.0,0.0,39.0,0,0,0,0,0,0,1,0,1,39,-1,42,0,0,0,0,0,0,0,0,0,0,No Label
198.148.27.131-10.122.140.76-443-62848-6,198.148.27.131,443,10.122.140.76,62848,6,15/02/2024 07:30:12 PM,0,1,1,0.0,39.0,0.0,0.0,0.0,0.0,39.0,39.0,39.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,39.0,26.0,22.516660498395403,507.0,0,0,0,1,1,0,0,0,1.0,39.0,0.0,39.0,0,0,0,0,0,0,1,0,1,39,-1,42,0,0,0,0,0,0,0,0,0,0,No Label
198.148.27.131-10.122.140.76-443-62848-6,198.148.27.131,443,10.122.140.76,62848,6,15/02/2024 07:30:12 PM,0,1,1,0.0,39.0,0.0,0.0,0.0,0.0,39.0,39.0,39.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,39.0,26.0,22.516660498395403,507.0,0,0,0,1,1,0,0,0,1.0,39.0,0.0,39.0,0,0,0,0,0,0,1,0,1,39,-1,42,0,0,0,0,0,0,0,0,0,0,No Label
198.148.27.131-10.122.140.76-443-62848-6,198.148.27.131,443,10.122.140.76,62848,6,15/02/2024 07:30:12 PM,0,1,1,0.0,39.0,0.0,0.0,0.0,0.0,39.0,39.0,39.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,39.0,26.0,22.516660498395403,507.0,0,0,0,1,1,0,0,0,1.0,39.0,0.0,39.0,0,0,0,0,0,0,1,0,1,39,-1,42,0,0,0,0,0,0,0,0,0,0,No Label
198.148.27.131-10.122.140.76-443-62848-6,10.122.140.76,62848,198.148.27.131,443,6,15/02/2024 07:30:12 PM,102,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68627.45098039215,17.0,39.68878934913485,98.0,0.0,101.0,20.2,43.49942528355978,98.0,0.0,0,0,0,0,0,0,0,0,0,120,20,58823.529411764706,9803.921568627451,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,1,0,-1,514,0,0,0,0,0,0,0,0,0,0,No Label
198.148.27.131-10.122.140.76-443-62848-6,10.122.140.76,62848,198.148.27.131,443,6,15/02/2024 07:30:12 PM,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,514,0,0,0,0,0,0,0,0,0,0,No Label
198.148.27.131-10.122.140.76-443-62848-6,10.122.140.76,62848,198.148.27.131,443,6,15/02/2024 07:30:12 PM,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,514,0,0,0,0,0,0,0,0,0,0,No Label
142.251.116.95-10.122.140.76-443-62436-6,10.122.140.76,62436,142.251.116.95,443,6,15/02/2024 07:30:12 PM,6983,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,286.409852498926,6983.0,0.0,6983.0,6983.0,0,0,0,0,0,6983.0,6983.0,0.0,6983.0,6983.0,0,0,0,0,0,40,0.0,286.409852498926,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,269,0,0,0,0,0,0,0,0,0,0,No Label
142.251.116.95-10.122.140.76-443-62436-6,142.251.116.95,443,10.122.140.76,62436,6,15/02/2024 07:30:12 PM,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,269,0,0,0,0,0,0,0,0,0,0,No Label
142.251.116.95-10.122.140.76-443-62436-6,142.251.116.95,443,10.122.140.76,62436,6,15/02/2024 07:30:12 PM,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,269,0,0,0,0,0,0,0,0,0,0,No Label
142.250.113.139-10.122.140.76-443-62446-6,142.250.113.139,443,10.122.140.76,62446,6,15/02/2024 07:30:12 PM,120,5,2,365.0,73.0,73.0,73.0,73.0,0.0,73.0,0.0,36.5,51.61879502661797,3650000.0,58333.33333333333,20.000000000000004,47.52262619005815,117.0,0.0,2.0,0.5,0.5773502691896257,1.0,0.0,120.0,120.0,0.0,120.0,120.0,0,1,0,0,100,40,41666.666666666664,16666.666666666668,0.0,73.0,63.875,25.809397513308983,666.125,0,0,0,1,1,0,0,0,0.0,73.0,73.0,36.5,0,0,0,0,0,0,5,365,2,73,-1,514,5,0,0,0,0,0,0,0,0,0,No Label
142.250.113.139-10.122.140.76-443-62446-6,10.122.140.76,62446,142.250.113.139,443,6,15/02/2024 07:30:12 PM,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,514,0,0,0,0,0,0,0,0,0,0,No Label
142.250.113.139-10.122.140.76-443-62446-6,10.122.140.76,62446,142.250.113.139,443,6,15/02/2024 07:30:12 PM,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,514,0,0,0,0,0,0,0,0,0,0,No Label
142.250.113.139-10.122.140.76-443-62446-6,10.122.140.76,62446,142.250.113.139,443,6,15/02/2024 07:30:12 PM,5587,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,357.9738679076427,5587.0,0.0,5587.0,5587.0,0,0,0,0,0,5587.0,5587.0,0.0,5587.0,5587.0,0,0,0,0,0,40,0.0,357.9738679076427,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,266,0,0,0,0,0,0,0,0,0,0,No Label
142.250.113.139-10.122.140.76-443-62446-6,142.250.113.139,443,10.122.140.76,62446,6,15/02/2024 07:30:12 PM,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,266,0,0,0,0,0,0,0,0,0,0,No Label
142.250.113.139-10.122.140.76-443-62446-6,142.250.113.139,443,10.122.140.76,62446,6,15/02/2024 07:30:12 PM,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,266,0,0,0,0,0,0,0,0,0,0,No Label
10.122.140.76-108.138.167.10-62457-443-6,108.138.167.10,443,10.122.140.76,62457,6,15/02/2024 07:30:13 PM,0,1,1,0.0,39.0,0.0,0.0,0.0,0.0,39.0,39.0,39.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,39.0,26.0,22.516660498395403,507.0,0,0,0,1,1,0,0,0,1.0,39.0,0.0,39.0,0,0,0,0,0,0,1,0,1,39,-1,133,0,0,0,0,0,0,0,0,0,0,No Label
10.122.140.76-108.138.167.10-62457-443-6,108.138.167.10,443,10.122.140.76,62457,6,15/02/2024 07:30:13 PM,1,1,1,0.0,39.0,0.0,0.0,0.0,0.0,39.0,39.0,39.0,0.0,3.9E7,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,1000000.0,1000000.0,0.0,39.0,26.0,22.516660498395403,507.0,0,0,0,1,1,0,0,0,1.0,39.0,0.0,39.0,0,0,0,0,0,0,1,0,1,39,-1,133,0,0,0,0,0,0,0,0,0,0,No Label
10.122.140.76-108.138.167.10-62457-443-6,108.138.167.10,443,10.122.140.76,62457,6,15/02/2024 07:30:13 PM,1,1,1,0.0,39.0,0.0,0.0,0.0,0.0,39.0,39.0,39.0,0.0,3.9E7,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,1000000.0,1000000.0,0.0,39.0,26.0,22.516660498395403,507.0,0,0,0,1,1,0,0,0,1.0,39.0,0.0,39.0,0,0,0,0,0,0,1,0,1,39,-1,133,0,0,0,0,0,0,0,0,0,0,No Label
10.122.140.76-108.138.167.10-62457-443-6,108.138.167.10,443,10.122.140.76,62457,6,15/02/2024 07:30:13 PM,1,1,1,0.0,39.0,0.0,0.0,0.0,0.0,39.0,39.0,39.0,0.0,3.9E7,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,1000000.0,1000000.0,0.0,39.0,26.0,22.516660498395403,507.0,0,0,0,1,1,0,0,0,1.0,39.0,0.0,39.0,0,0,0,0,0,0,1,0,1,39,-1,133,0,0,0,0,0,0,0,0,0,0,No Label
10.122.140.76-108.138.167.10-62457-443-6,108.138.167.10,443,10.122.140.76,62457,6,15/02/2024 07:30:13 PM,1,1,1,0.0,39.0,0.0,0.0,0.0,0.0,39.0,39.0,39.0,0.0,3.9E7,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,1000000.0,1000000.0,0.0,39.0,26.0,22.516660498395403,507.0,0,0,0,1,1,0,0,0,1.0,39.0,0.0,39.0,0,0,0,0,0,0,1,0,1,39,-1,133,0,0,0,0,0,0,0,0,0,0,No Label
10.122.140.76-108.138.167.10-62457-443-6,108.138.167.10,443,10.122.140.76,62457,6,15/02/2024 07:30:13 PM,0,1,1,0.0,39.0,0.0,0.0,0.0,0.0,39.0,39.0,39.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,39.0,26.0,22.516660498395403,507.0,0,0,0,1,1,0,0,0,1.0,39.0,0.0,39.0,0,0,0,0,0,0,1,0,1,39,-1,133,0,0,0,0,0,0,0,0,0,0,No Label
10.122.140.76-108.138.167.10-62457-443-6,10.122.140.76,62457,108.138.167.10,443,6,15/02/2024 07:30:13 PM,124,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56451.6129032258,20.666666666666668,48.1816009143186,119.0,0.0,122.0,24.4,52.88950746603715,119.0,0.0,0,0,0,0,0,0,0,0,0,120,20,48387.096774193546,8064.516129032258,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,1,0,-1,514,0,0,0,0,0,0,0,0,0,0,No Label
10.122.140.76-108.138.167.10-62457-443-6,10.122.140.76,62457,108.138.167.10,443,6,15/02/2024 07:30:13 PM,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,514,0,0,0,0,0,0,0,0,0,0,No Label
10.122.140.76-108.138.167.10-62457-443-6,10.122.140.76,62457,108.138.167.10,443,6,15/02/2024 07:30:13 PM,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,514,0,0,0,0,0,0,0,0,0,0,No Label
